Categorie_template_2,Categorie_template_1,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34
SCRA_ST,Grade B,"0,7673999213","0,8290102061","0,9815870237","0,7000252639","0,8613152453","0,5991564523","0,1538652082","0,9135907882","0,80801448","0,2931105728","0,7057004676","0,730178237","0,2641496938","0,6797733969","0,8555931638","0,2115751327","0,6605915625","0,2727645135","0,982877286","0,1954359598","0,05711962692","0,5272967786","0,777888006","0,09507214195","0,5732128154","0,2520139192","0,2975296197","0,4174548683","0,687573424","0,01890244755","0,725224396","0,6052965214","0,5007754384","0,3514601459"
SCRA_ST,Grade C,"0,8861962947","0,6015387598","0,02286318094","0,04591046615","0,3870390125","0,2848917525","0,7029448635","0,297732021","0,5395071133","0,3711880137","0,768188037","0,8986961206","0,2822741244","0,337908374","0,5522919898","0,08707038366","0,219652359","0,3830235807","0,6023017881","0,8005012767","0,3085398433","0,5331144446","0,8128001213","0,553374186","0,8527982087","0,6277783739","0,4518353337","0,3520351825","0,6721579305","0,1726627288","0,3621851546","0,2793750151","0,9973168322","0,2458473848"
SCRA_ST,Cannot yet be assigned,"0,5122981939","0,07564874337","0,2212727833","0,5661627025","0,7926829093","0,1837020385","0,2185476624","0,009856527571","0,1292736805","0,3850439021","0,4104035021","0,8727153334","0,8227165529","0,2314519771","0,6214360887","0,5695105097","0,2711447056","0,09714793945","0,3814119162","0,7952425913","0,1208457391","0,256400029","0,984183042","0,6270841153","0,7211330461","0,2646662468","0,02312331862","0,5280836646","0,6941204953","0,2296117507","0,1966958191","0,2007815286","0,8099830642","0,2585302597"
,Covered bonds; of which:,"0,7794038638","0,6628037023","0,374863639","0,5191480282","0,2185077831","0,4712484349","0,4471166465","0,6908068204","0,07228089224","0,7560099705","0,9099409979","0,1006880614","0,4130310198","0,2120933922","0,5903752908","0,2741681315","0,9579755408","0,6112080473","0,1559487171","0,2796464326","0,5352012542","0,05066006495","0,06015075032","0,8439449774","0,2532500266","0,1369571266","0,4176771639","0,6609194316","0,8883987085","0,6848448726","0,7790871185","0,7147234239","0,3913971826","0,5330011965"
,rated,"0,003779358964","0,5749440346","0,9352686857","0,3204164719","0,631446372","0,4061926338","0,1092428985","0,4587267116","0,5176502741","0,6992715256","0,3273033346","0,3394811997","0,01166528423","0,5196218358","0,8108967618","0,4430930554","0,535290094","0,03514642393","0,5461996428","0,3107918631","0,8035784465","0,752105891","0,3985467094","0,02181702601","0,2080039879","0,7595871728","0,08041060856","0,5794063089","0,3548883733","0,5986641074","0,05023342239","0,3475782064","0,959928347","0,02568968669"
Covered bonds Rated,AAA to AA- ,"0,6330486325","0,2678411018","0,9488156084","0,8333246805","0,8194381339","0,9963446441","0,6873278878","0,3809316471","0,1966220242","0,2366923455","0,9408263316","0,5304534096","0,8049414375","0,3069166149","0,627598234","0,9367520996","0,7730969801","0,5679626669","0,6997543044","0,2818575434","0,502307901","0,5240848613","0,03313210522","0,4325213655","0,7386214455","0,7691644679","0,0303772206","0,5373972095","0,420976313","0,7371094924","0,9444347281","0,4892919721","0,5334440172","0,3131294225"
Covered bonds Rated,A+ to A-,"0,867734594","0,2778231746","0,4075953242","0,1801375115","0,5829149046","0,2585898723","0,3769869408","0,08099198537","0,1165216453","0,7170118894","0,876141367","0,07658102243","0,399067396","0,1322552712","0,561039748","0,6323161894","0,9464009512","0,5004367686","0,3032303654","0,488331378","0,08144732341","0,8282775203","0,2200387223","0,4791886381","0,0762709362","0,007597979926","0,3232975552","0,4561812594","0,6784821096","0,5681212015","0,06165152743","0,1246425828","0,772139229","0,6624966747"
Covered bonds Rated,BBB+ to BBB-,"0,6051268308","0,6603867586","0,6994376466","0,6987798926","0,883599633","0,6502234121","0,8257954139","0,993147211","0,8114782115","0,2164592593","0,9563135818","0,9536948837","0,03773564924","0,5733354113","0,5111773504","0,8100195439","0,4117290055","0,8099038208","0,3949449361","0,5965034389","0,8575807105","0,9145974533","0,444143039","0,1059678826","0,9103461726","0,7417454779","0,2300840418","0,2649624502","0,5266686928","0,6696978854","0,2382979425","0,9992015995","0,3265687827","0,1269815655"
Covered bonds Rated,BB+ to B-,"0,4297806319","0,04219833383","0,9962418214","0,1395994531","0,7634860995","0,7494999118","0,7262524182","0,4439253387","0,8515284552","0,05860837847","0,9729038832","0,527191345","0,01038901794","0,8751047044","0,5664106747","0,1618110544","0,9059303484","0,5985699137","0,9858758895","0,2156559855","0,2174680679","0,5395008147","0,6388172172","0,07609194621","0,9617441565","0,6198533548","0,8066521336","0,7329634879","0,3260755604","0,2125906597","0,2680139298","0,1049072649","0,4742096634","0,2851832101"
Covered bonds Rated,below B-,"0,4972298585","0,9912194477","0,9710808295","0,8023545019","0,2760436924","0,9621894937","0,1202388823","0,5326053494","0,789469487","0,7130301737","0,05012969576","0,2385134816","0,8858257899","0,5325360375","0,7148442522","0,9730096885","0,7626887946","0,1394630836","0,8235285522","0,07306300077","0,6554967278","0,2006468128","0,7144226931","0,6542225318","0,1639685323","0,7164345891","0,01058961981","0,2014317101","0,5306988027","0,8536631549","0,6944489323","0,6317559003","0,1833606657","0,8112945783"
,unrated; of which:,"0,7462953888","0,3293671156","0,7902914096","0,8854991463","0,1452433437","0,2875448664","0,9139426709","0,7984117184","0,5895506854","0,05055781794","0,6794634185","0,9591517112","0,3924629645","0,9735724571","0,5014396669","0,4496721395","0,6839308282","0,8508100411","0,0297641046","0,6244497734","0,9784775558","0,6376595988","0,9012942014","0,001866209437","0,518767038","0,5655035777","0,6944111238","0,7217179569","0,1684623811","0,9641059239","0,9992299577","0,6517711463","0,8203481976","0,1191077712"
Covered bonds Unrated,risk weight for issuing bank of 20%,"0,4936536314","0,1763622515","0,4854517623","0,03603655043","0,3523630681","0,2744873869","0,1890422839","0,6926503554","0,5523661628","0,3159158842","0,2317540596","0,6817726706","0,6458030119","0,5229345902","0,6044927202","0,5013918543","0,4208938589","0,3373834168","0,8259067725","0,5326538347","0,2061348743","0,2894151064","0,04875565591","0,00819160487","0,4165106981","0,4453156704","0,8971401564","0,7135224031","0,9593080603","0,5092447012","0,5139964453","0,3933444746","0,817310026","0,4867637069"
Covered bonds Unrated,risk weight for issuing bank of 30%,"0,407244383","0,183563093","0,4362941728","0,2298270318","0,8961335818","0,8437173625","0,9876643695","0,1449193957","0,7382719866","0,6674069798","0,7478598254","0,1927356592","0,7820301027","0,01579546571","0,827492311","0,8921394153","0,2929758737","0,9195325412","0,5043964514","0,1560983439","0,07315911241","0,2610709229","0,1317845286","0,8275112245","0,5551470813","0,1533607224","0,7952766677","0,8399558863","0,7327809435","0,01580657306","0,3214983107","0,9363718278","0,8111291357","0,8141930977"
Covered bonds Unrated,risk weight for issuing bank of 40%,"0,6917865155","0,06918721038","0,8419397961","0,7352494251","0,4677420525","0,5246147087","0,1618236534","0,7444979326","0,7831635905","0,8853418917","0,02710843305","0,0327931241","0,109792354","0,003123447469","0,2580138268","0,5967230202","0,4362152171","0,7679966592","0,2282222304","0,5463296678","0,09802942507","0,4197620242","0,03448540976","0,521751832","0,3206816474","0,2061788476","0,4197529404","0,523919941","0,6223504343","0,246427032","0,6230709173","0,6413890576","0,877561893","0,3695184067"
Covered bonds Unrated,risk weight for issuing bank of 50%,"0,8144733887","0,2328340532","0,2741967638","0,2085824026","0,2310598187","0,09583867076","0,7547245524","0,225934856","0,595797049","0,3791291504","0,09755592295","0,6824505965","0,2039778903","0,4591599001","0,7296060965","0,2078559385","0,7268700822","0,7646728007","0,007127064564","0,5347648251","0,03846162367","0,8101859225","0,6547866767","0,7892804315","0,3187913428","0,2248863749","0,3406623099","0,2302024612","0,1732758241","0,8154101962","0,09384498006","0,1965137544","0,60607521","0,8699369624"
Covered bonds Unrated,risk weight for issuing bank of 75%,"0,2190053856","0,6895621188","0,9555587402","0,1124757032","0,5429038699","0,5523236587","0,6799404986","0,1710496088","0,4981613384","0,5743926216","0,4254430183","0,7221685172","0,6503591389","0,6145874383","0,866311135","0,7026891369","0,692717588","0,9540893","0,2325035663","0,7899178239","0,6595065966","0,9812239342","0,392612807","0,2924836116","0,2400244278","0,6285520413","0,1497339337","0,5749685786","0,7218609656","0,1185737713","0,09394070751","0,54769799","0,9486085384","0,8136094084"
Covered bonds Unrated,risk weight for issuing bank of 100%,"0,7238178507","0,6754882255","0,9343878186","0,2182467905","0,1131803791","0,8354998464","0,04922136156","0,108133231","0,3300572705","0,3513295107","0,6241294038","0,7153585839","0,0730191019","0,8919565599","0,6168129415","0,5628371887","0,3995257445","0,7212537033","0,6322507261","0,6884963743","0,9031148515","0,5787184009","0,3419593416","0,759599371","0,903824609","0,4632778274","0,4118031759","0,6500325431","0,6827648289","0,8728096708","0,7881158976","0,6684532481","0,2185086447","0,6740923954"
Covered bonds Unrated,risk weight for issuing bank of 150%,"0,3897463335","0,7104720617","0,8375429762","0,5348799784","0,3996319762","0,6427679781","0,2846387957","0,1651020643","0,4734381088","0,8590170734","0,5725299541","0,8379970614","0,9423415076","0,4132332989","0,5593100436","0,4371621557","0,7004743848","0,5450862664","0,4399866396","0,1193302363","0,3498980608","0,266830729","0,01234506921","0,4227975429","0,6145556727","0,6406094703","0,2277367801","0,1750656699","0,409831262","0,5392508565","0,6424231346","0,9444795847","0,2639124222","0,5010656067"
,"Total corporates, of which:","0,5708437153","0,9060956601","0,3275279266","0,3789336345","0,5877188521","0,1716992827","0,2878945154","0,3459145325","0,1418310286","0,06433033975","0,1363800901","0,4414022055","0,9222555193","0,6512390918","0,4507160597","0,8131954064","0,8142272346","0,2388014554","0,5729967388","0,7012313201","0,6914591386","0,4770576165","0,5742225583","0,3348356909","0,037689232","0,3094163776","0,5426544492","0,7362504592","0,7589364931","0,4358915394","0,8528708874","0,2731211356","0,5528295463","0,2834305888"
,Corporates; of which:,"0,7090044603","0,5779221852","0,1152037519","0,6133394552","0,2061541317","0,4842522112","0,3194089614","0,1854723083","0,473532788","0,1011919646","0,6597030414","0,1141329018","0,3019892638","0,6001207937","0,4990549123","0,05979309209","0,8395188793","0,4363477897","0,5384031398","0,7142802404","0,05754771751","0,3813179352","0,2612902224","0,4097565143","0,1109057969","0,9227583223","0,3362273402","0,9576530513","0,937589666","0,2267644605","0,5909553938","0,4647816305","0,4571086904","0,5013349503"
,Corporates (excluding SMEs); of which:,"0,7487960434","0,8042832515","0,4814346736","0,7676502706","0,1194141263","0,6178687238","0,1059586987","0,9591955609","0,5261255602","0,7661743217","0,9418734696","0,4050041739","0,4721174605","0,7817245356","0,582048256","0,419752282","0,3947076671","0,3053083177","0,9158332302","0,5347539573","0,750199559","0,8530221207","0,51709729","0,3654934041","0,7803363449","0,1432771092","0,3834975105","0,3084847439","0,3164647281","0,9944211659","0,7800624174","0,4164887445","0,8105251646","0,08194664441"
,Corporates (excluding SMEs) - rating allowed; of which:,"0,4785790011","0,69451213","0,422197995","0,3590670192","0,591905783","0,07501552916","0,4553391014","0,7238679889","0,5818154253","0,222438037","0,363971076","0,03193311213","0,09619031802","0,8491367783","0,2119204925","0,7413278748","0,8019025923","0,9247120155","0,9639853206","0,3514299504","0,4602278089","0,2831668788","0,5442535173","0,8136457589","0,4652378053","0,5346068863","0,9265689969","0,1001368614","0,8773079898","0,665420578","0,2214087767","0,09428235737","0,9496942756","0,4345163078"
,rated corporate exposures; of which:,"0,9220239813","0,1772626776","0,246145728","0,7542075454","0,5442606419","0,8252990769","0,4999650292","0,01583193696","0,2555478247","0,4853025684","0,2627642577","0,511358453","0,2009426029","0,3164754922","0,0447940719","0,9227690644","0,9906577415","0,9352618448","0,2714034359","0,6519667232","0,114844492","0,4336173905","0,1394101714","0,3182346284","0,1982542198","0,9955279553","0,146312715","0,3510906109","0,7345801772","0,3162746713","0,05567895613","0,01047640416","0,851413244","0,5103894201"
Corp rated,AAA to AA- ,"0,4163608321","0,5201263047","0,4524599674","0,6152023867","0,3147246768","0,5039440658","0,4146757642","0,1293210809","0,1009041936","0,129784242","0,9534544531","0,09329418528","0,489556281","0,4007227281","0,2968686252","0,264011158","0,8647222512","0,8202867923","0,158005265","0,4075628881","0,6131516469","0,5193086902","0,9001096835","0,4658355751","0,7352570268","0,7149831596","0,8231865283","0,951014381","0,8034319601","0,4900742938","0,8629817966","0,1872903584","0,5064107357","0,9319752815"
Corp rated,A+ to A-,"0,3155303046","0,285251676","0,3792693557","0,5961904373","0,4694139597","0,3044566675","0,9119566194","0,0891961301","0,7553932702","0,2856845402","0,4567319516","0,9480378983","0,5294659478","0,05894329257","0,7307434189","0,735067119","0,1332334964","0,0302041752","0,5595324899","0,6265129789","0,6395044875","0,1837857164","0,4229668845","0,3221946776","0,4839955918","0,408038183","0,6843448499","0,3354950511","0,8206857374","0,01923687755","0,8153231532","0,08000801169","0,6776355013","0,2931629337"
