,PANEL,abscisse,ordinate,coord,H_Level_1,H_Level_2,V_Level_1,V_Level_2,V_Level_3,V_Level_4,Target,Modality,Level_1,Performed,Query_number,Result
23,A.1 General,30,20,AD20,,sovereigns,SA-CCR,"CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","Exposures
(post-CCF, post-CRM)",E23,sovereigns,Categorie_template_2,False,,
24,A.1 General,31,20,AE20,,sovereigns,SA-CCR,"CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)",Difference in RWA,E24,sovereigns,Categorie_template_2,False,,
25,A.1 General,32,20,AF20,,sovereigns,Output floor,"Full non-modelling approach
Leave empty if IMM not applied","Exposures 
(post-CCF, post-CRM)",Total,E25,sovereigns,Categorie_template_2,False,,
26,A.1 General,33,20,AG20,,sovereigns,Output floor,"Full non-modelling approach
Leave empty if IMM not applied","Exposures 
(post-CCF, post-CRM)",of which: CCR,E26,sovereigns,Categorie_template_2,False,,
27,A.1 General,34,20,AH20,,sovereigns,Output floor,"Full non-modelling approach
Leave empty if IMM not applied",RWA,RWA,E27,sovereigns,Categorie_template_2,False,,
28,A.1 General,36,20,AJ20,,sovereigns,EU-specific: transitional SA-CCR application for credit risk output floor,"Full non-modelling approach 
Use of SA-CCR with alpha = 1 for CCR exposures calculated under the IMM for RWA not subject to a floor, and CR-SA for RWA calculation
Leave empty if IMM not applied","Exposures
(post-CCF, post-CRM)",of which: CCR,E29,sovereigns,Categorie_template_2,False,,
29,A.1 General,3,21,C21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying national rules at the reporting date,Exposures post substitution,,,,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
30,A.1 General,4,21,D21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying national rules at the reporting date,Exposures post substitution,On-balance sheet exposures (post-CRM),On-balance sheet exposures (post-CRM),E1,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
31,A.1 General,5,21,E21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying national rules at the reporting date,Exposures post substitution,CCR,Total,E2,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
32,A.1 General,6,21,F21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying national rules at the reporting date,Exposures post substitution,CCR,of which: CCR internal models,E3,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
33,A.1 General,7,21,G21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying national rules at the reporting date,Exposures post substitution,,,,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
34,A.1 General,8,21,H21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying national rules at the reporting date,Exposures post substitution,Off-balance sheet exposures (post-CCF post-CRM),Off-balance sheet exposures (post-CCF post-CRM),E4,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
35,A.1 General,10,21,J21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying national rules at the reporting date,RWA,On-balance sheet exposures,On-balance sheet exposures,E6,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
36,A.1 General,11,21,K21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying national rules at the reporting date,RWA,CCR,CCR,E7,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
37,A.1 General,12,21,L21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying national rules at the reporting date,RWA,Off-balance sheet exposures,Off-balance sheet exposures,E8,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
38,A.1 General,15,21,O21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying national rules at the reporting date,Provisions,Specific provisions,Specific provisions,E11,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
39,A.1 General,16,21,P21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying national rules at the reporting date,Provisions,General provisions,General provisions,E12,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
40,A.1 General,17,21,Q21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,,,,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
41,A.1 General,18,21,R21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,On-balance sheet exposures (post-CRM),On-balance sheet exposures (post-CRM),E13,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
42,A.1 General,19,21,S21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,CCR,Total,E14,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
43,A.1 General,20,21,T21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,CCR,of which: CCR internal models,E15,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
44,A.1 General,21,21,U21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,,,,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
45,A.1 General,22,21,V21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,Off-balance sheet exposures (post-CCF post-CRM),Off-balance sheet exposures (post-CCF post-CRM),E16,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
46,A.1 General,24,21,X21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying revised rules for SA and for CCR exposures,RWA,On-balance sheet exposures,On-balance sheet exposures,E18,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
47,A.1 General,25,21,Y21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying revised rules for SA and for CCR exposures,RWA,CCR,CCR,E19,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
48,A.1 General,26,21,Z21,,PSEs treated as sovereigns as per CRE20.12,Amounts applying revised rules for SA and for CCR exposures,RWA,Off-balance sheet exposures,Off-balance sheet exposures,E20,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
49,A.1 General,30,21,AD21,,PSEs treated as sovereigns as per CRE20.12,SA-CCR,"CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","Exposures
(post-CCF, post-CRM)",E23,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
50,A.1 General,31,21,AE21,,PSEs treated as sovereigns as per CRE20.12,SA-CCR,"CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)",Difference in RWA,E24,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
51,A.1 General,32,21,AF21,,PSEs treated as sovereigns as per CRE20.12,Output floor,"Full non-modelling approach
Leave empty if IMM not applied","Exposures 
(post-CCF, post-CRM)",Total,E25,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
52,A.1 General,33,21,AG21,,PSEs treated as sovereigns as per CRE20.12,Output floor,"Full non-modelling approach
Leave empty if IMM not applied","Exposures 
(post-CCF, post-CRM)",of which: CCR,E26,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
53,A.1 General,34,21,AH21,,PSEs treated as sovereigns as per CRE20.12,Output floor,"Full non-modelling approach
Leave empty if IMM not applied",RWA,RWA,E27,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
54,A.1 General,36,21,AJ21,,PSEs treated as sovereigns as per CRE20.12,EU-specific: transitional SA-CCR application for credit risk output floor,"Full non-modelling approach 
Use of SA-CCR with alpha = 1 for CCR exposures calculated under the IMM for RWA not subject to a floor, and CR-SA for RWA calculation
Leave empty if IMM not applied","Exposures
(post-CCF, post-CRM)",of which: CCR,E29,PSEs treated as sovereigns as per CRE20.12,Categorie_template_2,False,,
55,A.1 General,3,22,C22,,other PSEs,Amounts applying national rules at the reporting date,Exposures post substitution,,,,other PSEs,Categorie_template_2,False,,
56,A.1 General,4,22,D22,,other PSEs,Amounts applying national rules at the reporting date,Exposures post substitution,On-balance sheet exposures (post-CRM),On-balance sheet exposures (post-CRM),E1,other PSEs,Categorie_template_2,False,,
57,A.1 General,5,22,E22,,other PSEs,Amounts applying national rules at the reporting date,Exposures post substitution,CCR,Total,E2,other PSEs,Categorie_template_2,False,,
58,A.1 General,6,22,F22,,other PSEs,Amounts applying national rules at the reporting date,Exposures post substitution,CCR,of which: CCR internal models,E3,other PSEs,Categorie_template_2,False,,
59,A.1 General,7,22,G22,,other PSEs,Amounts applying national rules at the reporting date,Exposures post substitution,,,,other PSEs,Categorie_template_2,False,,
60,A.1 General,8,22,H22,,other PSEs,Amounts applying national rules at the reporting date,Exposures post substitution,Off-balance sheet exposures (post-CCF post-CRM),Off-balance sheet exposures (post-CCF post-CRM),E4,other PSEs,Categorie_template_2,False,,
61,A.1 General,10,22,J22,,other PSEs,Amounts applying national rules at the reporting date,RWA,On-balance sheet exposures,On-balance sheet exposures,E6,other PSEs,Categorie_template_2,False,,
62,A.1 General,11,22,K22,,other PSEs,Amounts applying national rules at the reporting date,RWA,CCR,CCR,E7,other PSEs,Categorie_template_2,False,,
63,A.1 General,12,22,L22,,other PSEs,Amounts applying national rules at the reporting date,RWA,Off-balance sheet exposures,Off-balance sheet exposures,E8,other PSEs,Categorie_template_2,False,,
64,A.1 General,15,22,O22,,other PSEs,Amounts applying national rules at the reporting date,Provisions,Specific provisions,Specific provisions,E11,other PSEs,Categorie_template_2,False,,
65,A.1 General,16,22,P22,,other PSEs,Amounts applying national rules at the reporting date,Provisions,General provisions,General provisions,E12,other PSEs,Categorie_template_2,False,,
66,A.1 General,17,22,Q22,,other PSEs,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,,,,other PSEs,Categorie_template_2,False,,
67,A.1 General,18,22,R22,,other PSEs,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,On-balance sheet exposures (post-CRM),On-balance sheet exposures (post-CRM),E13,other PSEs,Categorie_template_2,False,,
68,A.1 General,19,22,S22,,other PSEs,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,CCR,Total,E14,other PSEs,Categorie_template_2,False,,
69,A.1 General,20,22,T22,,other PSEs,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,CCR,of which: CCR internal models,E15,other PSEs,Categorie_template_2,False,,
70,A.1 General,21,22,U22,,other PSEs,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,,,,other PSEs,Categorie_template_2,False,,
71,A.1 General,22,22,V22,,other PSEs,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,Off-balance sheet exposures (post-CCF post-CRM),Off-balance sheet exposures (post-CCF post-CRM),E16,other PSEs,Categorie_template_2,False,,
72,A.1 General,24,22,X22,,other PSEs,Amounts applying revised rules for SA and for CCR exposures,RWA,On-balance sheet exposures,On-balance sheet exposures,E18,other PSEs,Categorie_template_2,False,,
73,A.1 General,25,22,Y22,,other PSEs,Amounts applying revised rules for SA and for CCR exposures,RWA,CCR,CCR,E19,other PSEs,Categorie_template_2,False,,
74,A.1 General,26,22,Z22,,other PSEs,Amounts applying revised rules for SA and for CCR exposures,RWA,Off-balance sheet exposures,Off-balance sheet exposures,E20,other PSEs,Categorie_template_2,False,,
75,A.1 General,30,22,AD22,,other PSEs,SA-CCR,"CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","Exposures
(post-CCF, post-CRM)",E23,other PSEs,Categorie_template_2,False,,
76,A.1 General,31,22,AE22,,other PSEs,SA-CCR,"CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)",Difference in RWA,E24,other PSEs,Categorie_template_2,False,,
77,A.1 General,32,22,AF22,,other PSEs,Output floor,"Full non-modelling approach
Leave empty if IMM not applied","Exposures 
(post-CCF, post-CRM)",Total,E25,other PSEs,Categorie_template_2,False,,
78,A.1 General,33,22,AG22,,other PSEs,Output floor,"Full non-modelling approach
Leave empty if IMM not applied","Exposures 
(post-CCF, post-CRM)",of which: CCR,E26,other PSEs,Categorie_template_2,False,,
79,A.1 General,34,22,AH22,,other PSEs,Output floor,"Full non-modelling approach
Leave empty if IMM not applied",RWA,RWA,E27,other PSEs,Categorie_template_2,False,,
80,A.1 General,36,22,AJ22,,other PSEs,EU-specific: transitional SA-CCR application for credit risk output floor,"Full non-modelling approach 
Use of SA-CCR with alpha = 1 for CCR exposures calculated under the IMM for RWA not subject to a floor, and CR-SA for RWA calculation
Leave empty if IMM not applied","Exposures
(post-CCF, post-CRM)",of which: CCR,E29,other PSEs,Categorie_template_2,False,,
81,A.1 General,3,23,C23,,MDBs,Amounts applying national rules at the reporting date,Exposures post substitution,,,,MDBs,Categorie_template_2,False,,
82,A.1 General,4,23,D23,,MDBs,Amounts applying national rules at the reporting date,Exposures post substitution,On-balance sheet exposures (post-CRM),On-balance sheet exposures (post-CRM),E1,MDBs,Categorie_template_2,False,,
83,A.1 General,5,23,E23,,MDBs,Amounts applying national rules at the reporting date,Exposures post substitution,CCR,Total,E2,MDBs,Categorie_template_2,False,,
84,A.1 General,6,23,F23,,MDBs,Amounts applying national rules at the reporting date,Exposures post substitution,CCR,of which: CCR internal models,E3,MDBs,Categorie_template_2,False,,
85,A.1 General,7,23,G23,,MDBs,Amounts applying national rules at the reporting date,Exposures post substitution,,,,MDBs,Categorie_template_2,False,,
86,A.1 General,8,23,H23,,MDBs,Amounts applying national rules at the reporting date,Exposures post substitution,Off-balance sheet exposures (post-CCF post-CRM),Off-balance sheet exposures (post-CCF post-CRM),E4,MDBs,Categorie_template_2,False,,
87,A.1 General,10,23,J23,,MDBs,Amounts applying national rules at the reporting date,RWA,On-balance sheet exposures,On-balance sheet exposures,E6,MDBs,Categorie_template_2,False,,
88,A.1 General,11,23,K23,,MDBs,Amounts applying national rules at the reporting date,RWA,CCR,CCR,E7,MDBs,Categorie_template_2,False,,
89,A.1 General,12,23,L23,,MDBs,Amounts applying national rules at the reporting date,RWA,Off-balance sheet exposures,Off-balance sheet exposures,E8,MDBs,Categorie_template_2,False,,
90,A.1 General,15,23,O23,,MDBs,Amounts applying national rules at the reporting date,Provisions,Specific provisions,Specific provisions,E11,MDBs,Categorie_template_2,False,,
91,A.1 General,16,23,P23,,MDBs,Amounts applying national rules at the reporting date,Provisions,General provisions,General provisions,E12,MDBs,Categorie_template_2,False,,
92,A.1 General,17,23,Q23,,MDBs,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,,,,MDBs,Categorie_template_2,False,,
93,A.1 General,18,23,R23,,MDBs,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,On-balance sheet exposures (post-CRM),On-balance sheet exposures (post-CRM),E13,MDBs,Categorie_template_2,False,,
94,A.1 General,19,23,S23,,MDBs,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,CCR,Total,E14,MDBs,Categorie_template_2,False,,
95,A.1 General,20,23,T23,,MDBs,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,CCR,of which: CCR internal models,E15,MDBs,Categorie_template_2,False,,
96,A.1 General,21,23,U23,,MDBs,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,,,,MDBs,Categorie_template_2,False,,
97,A.1 General,22,23,V23,,MDBs,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,Off-balance sheet exposures (post-CCF post-CRM),Off-balance sheet exposures (post-CCF post-CRM),E16,MDBs,Categorie_template_2,False,,
98,A.1 General,24,23,X23,,MDBs,Amounts applying revised rules for SA and for CCR exposures,RWA,On-balance sheet exposures,On-balance sheet exposures,E18,MDBs,Categorie_template_2,False,,
99,A.1 General,25,23,Y23,,MDBs,Amounts applying revised rules for SA and for CCR exposures,RWA,CCR,CCR,E19,MDBs,Categorie_template_2,False,,
100,A.1 General,26,23,Z23,,MDBs,Amounts applying revised rules for SA and for CCR exposures,RWA,Off-balance sheet exposures,Off-balance sheet exposures,E20,MDBs,Categorie_template_2,False,,
101,A.1 General,30,23,AD23,,MDBs,SA-CCR,"CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","Exposures
(post-CCF, post-CRM)",E23,MDBs,Categorie_template_2,False,,
102,A.1 General,31,23,AE23,,MDBs,SA-CCR,"CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)",Difference in RWA,E24,MDBs,Categorie_template_2,False,,
103,A.1 General,32,23,AF23,,MDBs,Output floor,"Full non-modelling approach
Leave empty if IMM not applied","Exposures 
(post-CCF, post-CRM)",Total,E25,MDBs,Categorie_template_2,False,,
104,A.1 General,33,23,AG23,,MDBs,Output floor,"Full non-modelling approach
Leave empty if IMM not applied","Exposures 
(post-CCF, post-CRM)",of which: CCR,E26,MDBs,Categorie_template_2,False,,
105,A.1 General,34,23,AH23,,MDBs,Output floor,"Full non-modelling approach
Leave empty if IMM not applied",RWA,RWA,E27,MDBs,Categorie_template_2,False,,
106,A.1 General,36,23,AJ23,,MDBs,EU-specific: transitional SA-CCR application for credit risk output floor,"Full non-modelling approach 
Use of SA-CCR with alpha = 1 for CCR exposures calculated under the IMM for RWA not subject to a floor, and CR-SA for RWA calculation
Leave empty if IMM not applied","Exposures
(post-CCF, post-CRM)",of which: CCR,E29,MDBs,Categorie_template_2,False,,
107,A.1 General,15,24,O24,,Banks (excluding covered bonds); of which:,Amounts applying national rules at the reporting date,Provisions,Specific provisions,Specific provisions,E11,Banks (excluding covered bonds); of which:,Categorie_template_1,False,,
108,A.1 General,16,24,P24,,Banks (excluding covered bonds); of which:,Amounts applying national rules at the reporting date,Provisions,General provisions,General provisions,E12,Banks (excluding covered bonds); of which:,Categorie_template_1,False,,
109,A.1 General,3,25,C25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying national rules at the reporting date,Exposures post substitution,,,,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
110,A.1 General,4,25,D25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying national rules at the reporting date,Exposures post substitution,On-balance sheet exposures (post-CRM),On-balance sheet exposures (post-CRM),E1,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
111,A.1 General,5,25,E25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying national rules at the reporting date,Exposures post substitution,CCR,Total,E2,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
112,A.1 General,6,25,F25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying national rules at the reporting date,Exposures post substitution,CCR,of which: CCR internal models,E3,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
113,A.1 General,7,25,G25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying national rules at the reporting date,Exposures post substitution,,,,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
114,A.1 General,8,25,H25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying national rules at the reporting date,Exposures post substitution,Off-balance sheet exposures (post-CCF post-CRM),Off-balance sheet exposures (post-CCF post-CRM),E4,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
115,A.1 General,10,25,J25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying national rules at the reporting date,RWA,On-balance sheet exposures,On-balance sheet exposures,E6,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
116,A.1 General,11,25,K25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying national rules at the reporting date,RWA,CCR,CCR,E7,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
117,A.1 General,12,25,L25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying national rules at the reporting date,RWA,Off-balance sheet exposures,Off-balance sheet exposures,E8,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
118,A.1 General,15,25,O25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying national rules at the reporting date,Provisions,Specific provisions,Specific provisions,E11,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
119,A.1 General,16,25,P25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying national rules at the reporting date,Provisions,General provisions,General provisions,E12,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
120,A.1 General,17,25,Q25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,,,,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
121,A.1 General,18,25,R25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,On-balance sheet exposures (post-CRM),On-balance sheet exposures (post-CRM),E13,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
122,A.1 General,19,25,S25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,CCR,Total,E14,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
123,A.1 General,20,25,T25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,CCR,of which: CCR internal models,E15,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
124,A.1 General,21,25,U25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,,,,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
125,A.1 General,22,25,V25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,Off-balance sheet exposures (post-CCF post-CRM),Off-balance sheet exposures (post-CCF post-CRM),E16,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
126,A.1 General,24,25,X25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying revised rules for SA and for CCR exposures,RWA,On-balance sheet exposures,On-balance sheet exposures,E18,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
127,A.1 General,25,25,Y25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying revised rules for SA and for CCR exposures,RWA,CCR,CCR,E19,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
128,A.1 General,26,25,Z25,,Claims on banks belonging to the same institutional protection scheme ,Amounts applying revised rules for SA and for CCR exposures,RWA,Off-balance sheet exposures,Off-balance sheet exposures,E20,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
129,A.1 General,30,25,AD25,,Claims on banks belonging to the same institutional protection scheme ,SA-CCR,"CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","Exposures
(post-CCF, post-CRM)",E23,Claims on banks belonging to the same institutional protection scheme ,Categorie_template_1,False,,
